valor_cop,area,Cuartos,tipo,city,Ciudad,barrio_limpio,barrio_target_enc
683600000,55.02,2,apartamento,Antioquia,El Retiro,Otros,611491884.6153846
243000000,50.9,2,apartamento,Antioquia,Caldas,Otros,611491884.6153846
374433000,62.0,2,apartamento,Antioquia,Bello,Otros,611491884.6153846
404400000,62.45,2,apartamento,Antioquia,La estrella,Otros,611491884.6153846
574760000,63.22,2,apartamento,Antioquia,Itaguí,Otros,611491884.6153846
714000000,75.58,2,apartamento,Antioquia,Envigado,Otros,611491884.6153846
1466540000,140.0,3,casa,Antioquia,El Retiro,Otros,611491884.6153846
1148157500,87.35,3,apartamento,Antioquia,Envigado,Otros,611491884.6153846
341064000,59.8,2,apartamento,Antioquia,Rionegro,Otros,611491884.6153846
759440000,83.5,2,apartamento,Antioquia,La ceja,Otros,611491884.6153846
415000000,52.0,2,apartamento,Antioquia,La estrella,Otros,611491884.6153846
590000000,94.0,3,casa,Antioquia,El Retiro,Otros,611491884.6153846
235000000,54.51,2,apartamento,Antioquia,Bello,Otros,611491884.6153846
140410000,37.81,2,apartamento,Atlantico,Soledad,Otros,768161732.25
263970000,54.99,2,apartamento,Atlantico,Barranquilla,Otros,768161732.25
339120429,65.31,2,apartamento,Atlantico,Conjunto residencial villa campestre,Otros,768161732.25
339120429,65.31,2,apartamento,Atlantico,Conjunto residencial villa campestre,Otros,768161732.25
1450000000,191.0,3,casa,Atlantico,Puerto colombia,Otros,768161732.25
206303000,42.38,2,apartamento,Atlantico,Soledad,Otros,768161732.25
206370000,59.89,2,apartamento,Atlantico,Soledad,Otros,768161732.25
3200000000,600.0,5,casa,Atlantico,Altos de pradomar,Otros,768161732.25
221080000,37.28,1,apartamento,Cundinamarca,Cajicá,Otros,299871316.6666667
215334450,54.54,1,apartamento,Cundinamarca,Fusagasugá,Otros,299871316.6666667
217999000,38.5,2,apartamento,Cundinamarca,Mosquera,Otros,299871316.6666667
172853050,47.0,2,apartamento,Cundinamarca,Soacha,Otros,299871316.6666667
222068198,53.26,2,apartamento,Cundinamarca,Ricaurte,Ricaurte,261984608.16666666
341113451,58.88,2,apartamento,Cundinamarca,Ricaurte,Ricaurte,261984608.16666666
236300000,52.8,2,apartamento,Cundinamarca,Zipaquirá,Otros,299871316.6666667
192172500,57.0,2,apartamento,Cundinamarca,Ricaurte,Ricaurte,261984608.16666666
490000000,80.0,2,casa,Cundinamarca,La mesa,Otros,299871316.6666667
860671000,91.15,3,casa,Cundinamarca,Cota,Otros,299871316.6666667
135276300,39.0,1,apartamento,Cundinamarca,Soacha,Otros,299871316.6666667
200000000,57.0,2,apartamento,Cundinamarca,Soacha,Otros,299871316.6666667
192172500,52.97,2,apartamento,Cundinamarca,Ricaurte,Ricaurte,261984608.16666666
277490000,57.84,2,apartamento,Cundinamarca,Ricaurte,Ricaurte,261984608.16666666
311628000,58.51,2,apartamento,Cundinamarca,Zipaquirá,Otros,299871316.6666667
220000000,65.0,2,apartamento,Cundinamarca,Soacha,Otros,299871316.6666667
346891000,65.65,2,apartamento,Cundinamarca,Ricaurte,Ricaurte,261984608.16666666
317314000,72.88,2,apartamento,Cundinamarca,Zipaquirá,Otros,299871316.6666667
342251000,60.78,1,apartamento,Risaralda,Dosquebradas,Dosquebradas,465608199.2
279489996,37.55,2,apartamento,Risaralda,Dosquebradas,Dosquebradas,465608199.2
417300000,66.04,2,apartamento,Risaralda,Dosquebradas,Dosquebradas,465608199.2
620000000,136.63,3,casa,Risaralda,Dosquebradas,Dosquebradas,465608199.2
669000000,100.0,2,casa,Risaralda,Dosquebradas,Dosquebradas,465608199.2
139646000,33.02,1,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
128115000,42.83,1,casa,Santander,Lebrija,Otros,172705000.0
195000000,58.1,2,apartamento,Santander,Piedecuesta,Otros,172705000.0
195000000,58.1,2,apartamento,Santander,Piedecuesta,Otros,172705000.0
232740000,62.49,2,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
232740000,62.49,2,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
249030000,63.03,2,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
249030000,63.03,2,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
434470000,77.72,2,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
457051000,70.88,2,apartamento,Santander,Floridablanca,Floridablanca,284958142.85714287
211389750,55.0,2,apartamento,Tolima,Melgar,Otros,274271350.0
405467000,90.46,2,apartamento,Tolima,Ibagué,Otros,274271350.0
192172500,56.67,2,apartamento,Tolima,Ibagué,Otros,274271350.0
192172500,56.67,2,apartamento,Tolima,Ibagué,Otros,274271350.0
370155000,71.96,2,apartamento,Tolima,Ibagué,Otros,274271350.0
210622000,54.85,1,casa,Valle Del Cauca,Jamundí,Otros,153445419.8181818
149721595,30.05,1,casa,Valle Del Cauca,El cerrito,Otros,153445419.8181818
142592000,40.09,1,apartamento,Valle Del Cauca,Cali,Otros,153445419.8181818
149721595,41.03,1,casa,Valle Del Cauca,Jamundí,Otros,153445419.8181818
128115000,43.98,1,casa,Valle Del Cauca,Trujillo,Otros,153445419.8181818
128115000,44.78,1,casa,Valle Del Cauca,San pedro,Otros,153445419.8181818
130000000,53.91,1,casa,Valle Del Cauca,Florida,Otros,153445419.8181818
163702500,53.91,1,casa,Valle Del Cauca,Zarzal,Otros,153445419.8181818
142591995,60.5,1,casa,Valle Del Cauca,El cerrito,Otros,153445419.8181818
